符合條件商品
資料日期：2023年  8月  9日
策略,	基金財務輸出CSV
序號,	代碼,	商品,	成交,	漲幅%,	總量,	CLOSE,	C_MA20,	VOL,	VOL_MA10,	ROE4,	毛利率,	營益率,	利息倍數,	股本,	市值
執行時間：2023-08-09 19:11 符合檔數(1770)
100	,1472.TW,三洋實業,42.1,-2.32,84,42.1,42.97,84,57.1,4.6,11.8,2.1,1,4,11
101	,1473.TW,台南,24.5,0.41,73,24.5,24.09,73,278.9,8.6,17.3,4.8,18,15,36
102	,1474.TW,弘裕,12.4,3.77,283,12.4,12.43,283,185,-3.8,7.9,-4.2,6,13,16
103	,1475.TW,業旺,54.6,-0.36,101,54.6,53.4,101,127.3,25.1,24.1,21.3,7079,3,14
104	,1476.TW,儒鴻,496,-9.98,3097,496,524.4,3097,1124.7,25.3,31.2,21.2,126,27,1361
105	,1477.TW,聚陽,309.5,-1.12,2358,309.5,302.8,2358,4381.7,24.9,24.6,13.7,24,24,749
106	,1503.TW,士電,130.5,-1.51,8096,130.5,148.31,8096,5932.8,11.2,19.1,11.1,78,52,680
107	,1504.TW,東元,52.2,-0.19,11307,52.2,53.71,11307,31621.4,7.8,24.4,11.4,28,214,1116
108	,1506.TW,正道,17.15,0.29,74,17.15,17.42,74,156.3,3.5,16.1,5.1,10,30,28
109	,1512.TW,瑞利,12.8,-0.39,21,12.8,13.26,21,27.5,0.5,25,-3.4,-4,10,13
110	,1513.TW,中興電,116,0.87,22376,116,118.79,22376,22259.4,20.5,27,17.6,14,50,574
111	,1514.TW,亞力,58,-4.13,8679,58,62.17,8679,5446.2,14.7,17.1,8.9,21,24,139
112	,1515.TW,力山,38.85,1.7,1148,38.85,36.95,1148,935.2,1.2,10.4,-1.6,-17,18,71
113	,1516.TW,川飛,19.85,-0.75,420,19.85,20.16,420,104.2,-1,4.6,-5.3,279,4,7
114	,1517.TW,利奇,16.8,-0.3,158,16.8,16.97,158,283.6,0.4,11.9,-2,2041,23,38
115	,1519.TW,華城,224,4.19,13604,224,208.54,13604,7499.8,20.1,28,14.4,21,26,585
116	,1521.TW,大億,35.8,-0.28,19,35.8,36.33,19,35.4,4.2,14.6,4.6,17,8,27
117	,1522.TW,堤維西,32.6,1.56,1624,32.6,32.63,1624,3914.3,9.5,24.5,8.3,7,31,102
118	,1524.TW,耿鼎,21.3,-1.16,1315,21.3,22.03,1315,908.9,7.1,22.6,11.8,14,17,35
119	,1525.TW,江申,92.1,-0.22,79,92.1,97.51,79,184.2,16.3,12.9,5.9,218,7,68
120	,1526.TW,日馳,35.8,-0.56,51,35.8,36.7,51,88,12.5,32.7,14.8,51,6,21
121	,1527.TW,鑽全,41.85,-0.24,285,41.85,41.54,285,233.7,7.3,23.1,13.4,0,14,58
122	,1528.TW,恩德,13,-4.06,3760,13,14.62,3760,2608.9,2.4,25.3,0.6,7,19,25
123	,1529.TW,樂事綠能,36.6,-1.08,1739,36.6,39.63,1739,2865.8,10.9,21.6,11.8,6,15,55
124	,1530.TW,亞崴,31.15,-0.16,16,31.15,31.33,16,34.9,0.4,9.6,-5.2,19,10,30
125	,1531.TW,高林股,14.55,0,65,14.55,14.59,65,86.3,-2.7,16.8,-7.4,33,18,27
126	,1532.TW,勤美,38.3,-1.03,1824,38.3,37.04,1824,2085.8,-0.8,19.3,0.8,5,38,144
127	,1533.TW,車王電,58.6,-2.01,497,58.6,61.09,497,669.8,-11,17.4,-8.6,0,10,58
128	,1535.TW,中宇,57.7,-1.7,228,57.7,58.35,228,299.3,16.4,9.9,5.1,752,12,71
129	,1536.TW,和大,64.1,-1.38,1076,64.1,66.61,1076,649.8,3.7,19.3,8.5,7,28,179
130	,1537.TW,廣隆,144.5,0,107,144.5,143.5,107,147.1,11,18.9,10.9,5188,8,119
131	,1538.TW,正峰,9.5,0,12,9.5,9.5,12,7.3,-33.2,14.3,-24.1,-10,8,2
132	,1539.TW,巨庭,27.5,-1.43,165,27.5,27.79,165,140.5,-0.8,8.2,0.1,37,7,18
