編號,地震時間,經度,緯度,深度,規模,震央位置
104046   ,2015/9/2 上午 07:28:00,121.43,22.62,18.7,4.3,臺東縣政府東偏南方  32.0  公里 (位於臺灣東部海域)
104045   ,2015/9/1 下午 09:24:00,121.49,23.91,17.1,5.5,花蓮縣政府西偏南方  15.6  公里 (位於花蓮縣秀林鄉)
小區域,2015/8/7 下午 05:04:00,121.42,24.44,7,4,宜蘭縣政府西南方  47.7  公里 (位於宜蘭縣大同鄉)
104040   ,2015/7/28 下午 02:59:00,121.43,24.43,6,4.7,宜蘭縣政府西南方  47.2  公里 (位於宜蘭縣大同鄉)
104039   ,2015/7/28 下午 02:27:00,121.44,24.43,6.5,4.3,宜蘭縣政府西南方  47.1  公里 (位於宜蘭縣大同鄉)
104037   ,2015/7/23 上午 12:26:00,121.5,23.86,10.5,4.2,花蓮縣政府西南方  18.7  公里 (位於花蓮縣壽豐鄉)
104030   ,2015/5/26 上午 05:22:00,120.85,22.94,5.7,4.9,臺東縣政府西偏北方  37.4  公里 (位於臺東縣延平鄉)
104029   ,2015/5/12 上午 07:43:00,121.48,23.94,17.3,4.7,花蓮縣政府西偏南方  15.0  公里 (位於花蓮縣秀林鄉)
104023   ,2015/4/20 下午 07:20:00,121.66,23.66,38.3,5.5,花蓮縣政府南方  36.9  公里 (位於臺灣東部海域)
104022   ,2015/4/20 上午 09:42:00,122.44,24.02,30.6,6.4,花蓮縣政府東方  83.6  公里 (位於臺灣東部海域)
104015   ,2015/3/23 下午 06:13:00,121.67,23.73,38.4,6.2,花蓮縣政府南方  29.8  公里 (位於臺灣東部海域)
104014   ,2015/3/14 下午 10:45:00,121.9,24.48,27.4,4.6,宜蘭縣政府南偏東方  31.3  公里 (位於宜蘭縣近海)
小區域,2015/2/24 上午 04:03:00,121.42,23.78,24.2,4.2,花蓮縣政府西南方  31.3  公里 (位於花蓮縣萬榮鄉)
104011   ,2015/2/14 上午 04:06:00,121.4,22.66,27.8,6.3,臺東縣政府東偏南方  27.4  公里 (位於臺灣東部海域)
104010   ,2015/2/12 下午 03:35:00,121.7,24.27,29.7,4.7,花蓮縣政府北偏東方  31.5  公里 (位於花蓮縣秀林鄉)
104003   ,2015/1/7 下午 12:48:00,121.69,24.26,30.4,5.5,花蓮縣政府北偏東方  30.6  公里 (位於花蓮縣秀林鄉)
104001   ,2015/1/2 上午 01:10:00,121.47,23.68,19.8,4.5,花蓮縣政府南偏西方  38.1  公里 (位於花蓮縣光復鄉)
