符合條件商品
資料日期：2023年 12月  1日
策略,	台股輸出
"序號","代碼","商品","成交","漲幅%","總量","總市值(億)","產業",細產業
183	,"1723.TW","中碳","117.5","1.29","598","278.4","上市化工",煤化工,化學工業
184	,"1725.TW","元禎","21.6","0.47","43","39.3","上市化工",化學產品通路,化學工業,石油及天然氣,油品儲運/分銷
185	,"1726.TW","永記","74.7","0.27","9","121","上市化工",化學工業,塗料
186	,"1727.TW","中華化","29.3","-1.01","632","31.7","上市化工",染料，顏料,強酸產品,化學工業,其他化工產品,電子化工材料
187	,"1730.TW","花仙子","57.6","-0.52","31","36.4","上市化工",衛生清潔用品,化學工業
188	,"1731.TW","美吾華","22.5","0","552","29.9","上市生技醫療",衛生清潔用品,化學工業,醫藥產業,醫藥流通
189	,"1732.TW","毛寶","30.55","2.69","6648","13","上市化工",衛生清潔用品,化學工業
190	,"1733.TW","五鼎","29.15","-1.52","677","29.1","上市生技醫療",血糖儀,體外診斷用醫材
191	,"1734.TW","杏輝","33.9","1.65","1259","56.9","上市生技醫療",醫藥產業,生物科技,西藥製劑,學名藥,食品生技,時尚產業,美妝保養品
192	,"1735.TW","日勝化","16.95","0","1","16.8","上市化工",PU樹脂,化學工業,其他化工產品
193	,"1736.TW","喬山","71.4","1.28","168","216.8","上市運動休閒",健身器材,運動產業
194	,"1737.TW","臺鹽","34.15","0","146","68.3","上市食品",生物科技,食品生技,非酒精飲料,大宗物資,飲料相關,製鹽,時尚產業,美妝保養品
195	,"1742.TW","台蠟","17.5","0.57","125","16.4","上櫃化工",石蠟,化學工業,食品加工,水產品加工,電力,太陽能發電
196	,"1752.TW","南光","58.1","4.87","4538","58.7","上市生技醫療",醫藥產業,西藥製劑,學名藥
197	,"1760.TW","寶齡富錦","117","0.86","5033","100.3","上市生技醫療",醫藥產業,西藥製劑,新藥研發,學名藥,專利藥,體外診斷用醫材,檢驗試劑／紙,時尚產業,美妝保養品
198	,"1762.TW","中化生","59.3","1.37","967","46","上市生技醫療",醫藥產業,原料藥
199	,"1773.TW","勝一","139","-0.36","55","347.5","上市化工",溶劑,化學產品通路,化學工業,其他化工產品
200	,"1776.TW","展宇","17.1","-0.29","16","10.3","上市化工",PU樹脂,化學工業,其他化工產品
201	,"1777.TW","生泰","87.2","0.93","40","38.9","上櫃生技醫療",醫藥產業,原料藥
202	,"1781.TW","合世","16.5","10","1313","7.8","上櫃生技醫療",血壓計,診斷與監測用醫材
203	,"1783.TW","和康生","49.05","1.24","288","43.6","上市生技醫療",醫用植入材料,輔助與彌補用醫材,時尚產業,美妝保養品
204	,"1784.TW","訊聯","59.1","-0.17","249","29.3","上櫃生技醫療",生物科技,生技服務,時尚產業,美妝保養品
205	,"1785.TW","光洋科","40.1","-0.99","1163","239.2","上櫃其他電子",傳產其他,回收、焚化相關,電子化工材料,貴金屬
206	,"1786.TW","科妍","78.7","0.25","142","52.9","上市生技醫療",生物科技,食品生技,醫用植入材料,輔助與彌補用醫材,時尚產業,美妝保養品
207	,"1788.TW","杏昌","138","0","11","61.4","上櫃生技醫療",醫療器材通路,洗腎器具,手術與治療用醫材
208	,"1789.TW","神隆","26.85","1.51","1445","212.3","上市生技醫療",醫藥產業,西藥製劑,原料藥
209	,"1795.TW","美時","267.5","3.48","17937","661.9","上市生技醫療",醫藥產業,西藥製劑,學名藥
210	,"1796.TW","金穎生技","80.2","0.12","22","33.3","上櫃食品",生物科技,食品生技
211	,"1799.TW","易威","40","-2.68","331","45.7","上櫃生技醫療",醫藥產業,原料藥,新藥研發,學名藥
212	,"1802.TW","台玻","18.95","0","1750","551.1","上市玻璃陶瓷",建材,玻璃,玻纖布,印刷電路板相關
213	,"1805.TW","寶徠","12.1","-2.02","52","12.1","上市建材營造",營建,地產
214	,"1806.TW","冠軍","9.8","-0.2","454","38.3","上市玻璃陶瓷",建材,陶瓷
215	,"1808.TW","潤隆","96.6","-0.62","389","435.7","上市建材營造",營建,地產
216	,"1809.TW","中釉","15.4","1.32","639","25.7","上市玻璃陶瓷",建材,釉料
217	,"1810.TW","和成","18.1","-0.55","784","54.7","上市玻璃陶瓷",家居用品,衛浴設備,水龍頭
218	,"1813.TW","寶利徠","20.2","0.25","43","9.4","上櫃生技醫療",傳產其他,眼鏡
219	,"1815.TW","富喬","16.8","-0.59","7432","75.6","上櫃電子零組件",玻纖布,印刷電路板相關
220	,"1817.TW","凱撒衛","36.3","-0.14","56","26.4","上市玻璃陶瓷",家居用品,衛浴設備,水龍頭
221	,"1903.TW","士紙","56","0.36","145","145.6","上市造紙",家庭用紙,造紙業,資產股,地產,物業投資發展
222	,"1904.TW","正隆","29.8","0.17","777","330.3","上市造紙",工業用紙,文化用紙,家庭用紙,造紙業
223	,"1905.TW","華紙","22.65","1.34","2783","249.8","上市造紙",紙漿,文化用紙,特殊用紙,造紙業
